200909,更新情報有り,,,
制限,魔法,ワン・フォー・ワン,ONE FOR ONE,新規・制限
制限,罠,異次元からの帰還,RETURN FROM THE DIFFERENT DIMENSION,
制限,罠,おジャマトリオ,OJAMA TRIO,
制限,罠,神の宣告,SOLEMN JUDGMENT,新規・制限
制限,罠,グラヴィティ・バインド－超重力の網－,GRAVITY BIND,
制限,罠,激流葬,TORRENTIAL TRIBUTE,
制限,罠,聖なるバリア －ミラーフォース－,MIRROR FORCE,
制限,罠,ダスト・シュート,TRAP DUSTSHOOT,
制限,罠,停戦協定,CEASEFIRE,
制限,罠,転生の予言,THE TRANSMIGRATION PROPHECY,
制限,罠,光の護封壁,WALL OF REVEALING LIGHT,
制限,罠,魔法の筒,MAGIC CYLINDER,
制限,罠,リビングデッドの呼び声,CALL OF THE HAUNTED,禁止⇒制限
準制限,効果/モンスター,カオス・ソーサラー,CHAOS SORCERER,制限⇒準制限
準制限,効果/モンスター,ゴブリンゾンビ,GOBLIN ZOMBIE,
準制限,効果/モンスター,裁きの龍,JUDGMENT DRAGON,
準制限,効果/モンスター,D-HERO ディアボリックガイ,DESTINY HERO - MALICIOUS,
準制限,効果/モンスター,ネクロフェイス,NECROFACE,
準制限,シンクロ/モンスター,氷結界の虎王ドゥローレン,－,新規・準制限
準制限,効果/モンスター,馬頭鬼,MEZUKI,制限⇒準制限
準制限,効果/モンスター,闇の仮面,MASK OF DARKNESS,
準制限,効果/モンスター,ローンファイア・ブロッサム,LONEFIRE BLOSSOM,新規・準制限
準制限,魔法,おろかな埋葬,FOOLISH BURIAL,
準制限,魔法,連鎖爆撃,CHAIN STRIKE,
準制限,魔法,封印の黄金櫃,GOLD SARCOPHAGUS,
準制限,魔法,魔法石の採掘,MAGICAL STONE EXCAVATION,
準制限,魔法,闇の誘惑,ALLURE OF DARKNESS,
準制限,罠,血の代償,ULTIMATE OFFERING,
準制限,罠,奈落の落とし穴,BOTTOMLESS TRAP HOLE,新規・準制限
準制限,罠,マインドクラッシュ,MIND CRUSH,
解除,効果/モンスター,異次元の女戦士,D. D. WARRIOR LADY,制限⇒解除
解除,効果/モンスター,風帝ライザー,RAIZA THE STORM MONARCH,準制限⇒解除
解除,効果/モンスター,魔導戦士　ブレイカー,BREAKER THE MAGICAL WARRIOR,制限⇒解除
解除,効果/モンスター,森の番人グリーン・バブーン,GREEN BABOON，DEFENDER OF THE FOREST,準制限⇒解除
解除,魔法,地割れ,FISSURE,制限⇒解除
解除,魔法,デステニー・ドロー,DESTINY DRAW,準制限⇒解除
